Actual,Predicted,Residual
5823,5673.175253558256,149.82474644174363
5939,6690.940396773322,-751.9403967733224
4111,4290.576195225147,-179.57619522514688
4348,4324.07877568427,23.921224315729887
67809,66723.69402352681,1085.305976473188
5177,6390.8199828577,-1213.8199828576999
4111,4199.634973739533,-88.63497373953305
6489,6247.093484749354,241.9065152506464
6311,6224.887631491333,86.1123685086668
69713,69763.19510994735,-50.19510994735174
4796,4700.762650090058,95.23734990994217
52175,51971.943848249255,203.0561517507449
6354,6121.474814025409,232.5251859745913
5441,5464.695601633546,-23.695601633546175
6575,6472.431337235021,102.56866276497931
4055,3962.794299513456,92.20570048654417
3467,3452.026139882413,14.97386011758681
59021,58485.68070261646,535.3192973835394
63725,70947.29856944425,-7222.298569444247
15543,15351.490487205878,191.5095127941222
4979,5041.111932423276,-62.1119324232759
5800,6212.105536868482,-412.105536868482
5303,5397.998673729008,-94.99867372900826
57081,57207.182058041726,-126.18205804172612
4947,5520.138041936758,-573.1380419367579
5507,5698.598819213113,-191.59881921311262
56702,56988.70468102583,-286.70468102583254
7774,8109.153075782356,-335.1530757823557
4633,4918.72596602325,-285.7259660232503
2050,2159.1362538433914,-109.13625384339139
3000,2998.7754553011364,1.2245446988636104
2750,3028.9301232260195,-278.93012322601953
5232,5256.420356326476,-24.420356326476394
5465,5290.811775393081,174.188224606919
4909,4955.26336176008,-46.26336176008044
5805,5478.600006754505,326.39999324549535
55983,57506.39964269554,-1523.3996426955418
1830,1838.5618066400204,-8.56180664002045
3334,3334.4806047380644,-0.48060473806435766
2124,2095.8703364225726,28.129663577427436
5817,5902.993617621947,-85.99361762194712
60508,67174.47608405836,-6666.476084058362
45693,45656.16593584092,36.83406415907666
13841,11127.856399564838,2713.1436004351617
62188,62890.89156422598,-702.8915642259817
2201,2228.825507712855,-27.825507712855142
7490,7665.090358532835,-175.09035853283513
55983,55787.11524366324,195.8847563367599
4809,4381.803114930136,427.19688506986404
4792,4620.778638926566,171.2213610734343
68303,69636.76349945333,-1333.7634994533291
7584,8099.741647682057,-515.7416476820572
11205,11391.679790082186,-186.67979008218572
4173,4209.004044492545,-36.00404449254529
57081,57001.685525512454,79.31447448754625
14177,6981.16156958581,7195.83843041419
10324,10150.16549493489,173.83450506510962
10849,10744.981642642759,104.01835735724126
1551,1476.0492140929728,74.95078590702724
13944,13117.014363032804,826.9856369671961
4495,5332.484755993879,-837.4847559938789
5136,5070.132964476041,65.8670355239592
3860,4401.114986818577,-541.1149868185767
45257,45168.41755915493,88.58244084507169
6577,6974.360802106268,-397.36080210626824
4637,4650.45604624827,-13.456046248269558
7004,6913.463745151834,90.53625484816621
6461,6447.348373034718,13.651626965282048
7690,5727.208109451497,1962.791890548503
8112,7937.280143269158,174.71985673084237
5320,5114.97466936245,205.0253306375498
5892,5912.056912085194,-20.0569120851942
54777,54908.16020485629,-131.1602048562927
54608,54252.92389667904,355.07610332095646
49725,49623.59308745178,101.40691254822013
5177,5419.080466569739,-242.08046656973875
5824,5384.284932812108,439.7150671878917
3584,3805.797895679007,-221.79789567900707
5937,6168.846169647057,-231.84616964705674
4111,4094.0084090851647,16.991590914835342
6488,6656.291445488765,-168.29144548876502
4453,4690.092849187126,-237.09284918712638
2903,2997.4032555067424,-94.40325550674243
57405,56334.2965082195,1070.7034917804995
4257,3938.7807341027537,318.21926589724626
60160,60345.39195712158,-185.39195712158107
5485,6104.358093252374,-619.3580932523737
11034,9691.486509596336,1342.513490403664
13014,14752.308235122598,-1738.3082351225985
6310,6617.719715469139,-307.7197154691394
6161,6338.352839089554,-177.35283908955444
5949,6017.505545633631,-68.5055456336313
4079,3861.1083524860055,217.89164751399449
6191,5947.4747880183895,243.52521198161048
24122,24412.76711353232,-290.7671135323217
13386,12051.331499716114,1334.6685002838858
57999,54838.26031355417,3160.739686445828
4663,4299.462583445508,363.53741655449176
4361,4578.845637721899,-217.84563772189904
4417,4417.197127076671,-0.19712707667076756
14461,12088.467174484897,2372.5328255151035
69825,61884.16199589659,7940.838004103411
6122,6213.881174828613,-91.88117482861344
3563,3913.4521706044757,-350.45217060447567
4559,4931.842555321617,-372.8425553216166
6437,6329.138962364974,107.86103763502615
1776,1768.369022767557,7.630977232443001
60160,59706.94673211248,453.053267887517
52175,51968.87235230321,206.12764769679052
16293,15824.356267377543,468.6437326224568
3988,4045.478649901519,-57.47864990151902
58125,59239.67986926428,-1114.679869264277
6256,6577.8447342487525,-321.8447342487525
